link_articol,platforma,data,cuvinte_cheie
https://www.digi24.ro/stiri/video-bataie-crunta-intre-doua-bande-rivale-la-botosani-scandalul-a-inceput-de-la-o-sicanare-in-trafic-2699641, digi24, 24.02.2024 17:33 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/ciolacu-alta-coalitie-nu-se-poate-face-decat-in-jurul-psd-si-pnl-acestea-sunt-vremurile-2699639, digi24, 24.02.2024 17:32 ,nothing
https://www.digi24.ro/stiri/externe/rusia/jurnalisti-arestati-la-moscova-la-o-manifestatie-a-sotiilor-militarilor-rusi-mobilizati-in-ucraina-care-cer-sa-fie-adusi-acasa-2699631, digi24, 24.02.2024 17:15 ,ucraina 
https://www.digi24.ro/stiri/externe/sapte-cadavre-ciuruite-de-gloante-au-fost-gasite-intr-o-masina-din-mexic-printre-victime-se-afla-si-un-copil-2699617, digi24, 24.02.2024 16:50 ,victime 
https://www.digi24.ro/opinii/agora-digi/cine-castiga-din-comasarea-alegerilor-2699611, digi24, 24.02.2024 16:21 ,nothing
https://www.digi24.ro/stiri/predoiu-despre-politistul-accidentat-de-un-sofer-nu-putem-sa-combatem-acest-flagel-doar-prin-actiuni-de-sanctionare-2699605, digi24, 24.02.2024 16:08 ,nothing
https://www.digi24.ro/stiri/metoda-loverboy-principalul-instrument-al-traficantilor-de-persoane-multi-isi-cer-in-casatorie-victima-2699579, digi24, 24.02.2024 15:55 ,victima 
https://www.digi24.ro/stiri/externe/presedintele-curtii-supreme-a-rusiei-un-apropiat-al-lui-putin-a-murit-acesta-se-afla-la-sefia-instantei-supreme-din-1989-2699583, digi24, 24.02.2024 15:53 ,rusiei murit 
https://www.digi24.ro/stiri/un-expert-in-resurse-umane-dezvaluie-trei-lucruri-pe-care-nu-ar-trebui-sa-le-faci-niciodata-la-locul-de-munca-2695817, digi24, 24.02.2024 15:40 ,nothing
https://www.digi24.ro/stiri/externe/ue/trei-femei-au-fost-ucise-intr-un-bordel-din-viena-2699573, digi24, 24.02.2024 15:27 ,nothing
https://www.digi24.ro/stiri/actualitate/peste-1-000-de-refugiati-ucraineni-au-protestat-in-fata-sediului-consulatului-rusiei-din-constanta-2699551, digi24, 24.02.2024 14:50 ,rusiei 
https://www.digi24.ro/stiri/actualitate/politica/cum-a-racolat-psd-intr-o-singura-zi-zeci-de-primari-de-la-pnl-si-usr-inainte-de-alegerile-locale-ba-imala-de-ce-ai-nevoie-2699513, digi24, 24.02.2024 14:23 ,nothing
https://www.digi24.ro/stiri/externe/2-ani-de-razboi-in-ucraina-stoltenberg-situatia-pe-campul-de-lupta-ramane-extrem-de-dificila-insa-nu-trebuie-sa-ne-pierdem-speranta-2699535, digi24, 24.02.2024 14:13 ,război ucraina 
https://www.digi24.ro/stiri/actualitate/politica/george-simion-despre-candidatul-aur-la-prezidentiale-cu-dan-puric-impartasesc-multe-valori-comune-ce-crede-despre-mircea-geoana-2699493, digi24, 24.02.2024 13:35 ,nothing
https://www.digi24.ro/stiri/sci-tech/cromozomul-y-care-determina-sexul-barbatilor-ar-putea-disparea-cum-poate-supravietui-specia-umana-2698555, digi24, 24.02.2024 13:19 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/george-simion-urasc-acest-stat-artificial-numit-republica-moldova-2699473, digi24, 24.02.2024 12:47 ,nothing
https://www.digi24.ro/stiri/actualitate/sanatate/un-experiment-a-aratat-ca-oamenii-isi-pot-reduce-varsta-biologica-cu-aproape-3-ani-urmand-o-dieta-care-imita-postul-2698877, digi24, 24.02.2024 12:40 ,nothing
https://www.digi24.ro/stiri/actualitate/evenimente/video-momentul-in-care-un-sofer-beat-si-drogat-ia-pe-capota-un-politist-care-a-vrut-sa-l-opreasca-pentru-control-2699463, digi24, 24.02.2024 12:38 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/marcel-ciolacu-haideti-sa-terminam-cu-prostiile-cu-autonomia-tinutului-secuiesc-niciodata-nimeni-nu-va-imparti-ardealul-2699441, digi24, 24.02.2024 12:15 ,nothing
https://www.digi24.ro/stiri/externe/ne-e-teama-ca-o-sa-vedem-orase-romanesti-nivelate-ca-bahmutul-marturia-unui-roman-care-lupta-pe-frontul-din-ucraina-2697965, digi24, 24.02.2024 12:00 ,ucraina 
https://www.digi24.ro/stiri/externe/trump-crede-ca-fotografia-sa-judiciara-il-face-mai-atractiv-pentru-electoratul-de-culoare-din-sua-de-aia-ma-plac-ei-pe-mine-2699397, digi24, 24.02.2024 11:49 ,nothing
https://www.digi24.ro/stiri/externe/incendiu-devastator-in-china-pornit-de-la-o-bicicleta-electrica-cel-putin-15-morti-si-44-de-raniti-2699423, digi24, 24.02.2024 11:44 ,morți 
https://www.digi24.ro/stiri/externe/iulia-navalnaia-il-acuza-pe-vladimir-putin-ca-a-luat-ostatic-trupul-neinsufletit-al-sotului-ei-kremlinul-vrea-o-inmormantare-secreta-2699395, digi24, 24.02.2024 11:00 ,nothing
https://www.digi24.ro/stiri/externe/video-fermierii-protestatari-au-fortat-intrarea-la-salonul-de-agricultura-in-timpul-unei-vizite-a-lui-macron-2699365, digi24, 24.02.2024 10:38 ,nothing
https://www.digi24.ro/stiri/actualitate/fostul-sef-al-cia-avertizeaza-moldova-e-in-colimatorul-lui-putin-2699343, digi24, 24.02.2024 10:34 ,nothing
https://www.digi24.ro/stiri/externe/un-barbat-a-reusit-sa-castige-aproape-2-milioane-de-dolari-pentru-ca-si-a-spionat-sotia-2699347, digi24, 24.02.2024 10:11 ,nothing
https://www.digi24.ro/stiri/actualitate/barbatii-ucraineni-cu-varste-intre-18-si-60-de-ani-nu-mai-au-voie-sa-se-apropie-de-frontiera-cu-romania-2699331, digi24, 24.02.2024 09:45 ,nothing
https://www.digi24.ro/stiri/actualitate/cladirea-guvernului-va-fi-iluminata-in-culorile-drapelului-ucrainei-2699313, digi24, 24.02.2024 09:16 ,ucrainei 
https://www.digi24.ro/stiri/actualitate/politica/doi-ani-de-razboi-in-ucraina-ciolacu-actionam-in-deplina-unitate-si-solidaritate-cu-ucraina-pana-la-obtinerea-victoriei-si-a-pacii-2699311, digi24, 24.02.2024 09:09 ,război ucraina 
https://www.digi24.ro/stiri/externe/marea-britanie-ofera-ucrainei-drone-munitii-de-artilerie-si-rachete-antitanc-in-valoare-de-peste-280-de-milioane-de-euro-2699301, digi24, 24.02.2024 08:58 ,ucrainei rachete 
https://www.digi24.ro/stiri/externe/doi-ani-de-razboi-in-ucraina-sefa-comisiei-europene-ursula-von-der-leyen-a-ajuns-la-kiev-2699291, digi24, 24.02.2024 08:40 ,război ucraina 
